order_id,order_date,customer_id,city,province,product_id,brand,quantity,item_price,total_price
1612885,01-01-19,16293,Malang,Jawa Timur,P1301,BRAND_F,6,747000,4482000
1612387,01-01-19,17228,Bogor,Jawa Barat,P2086,BRAND_L,4,590000,2360000
1612903,01-01-19,16775,Surakarta,Jawa Tengah,P1656,BRAND_G,3,1325000,3975000
1612963,01-01-19,0,unknown,unknown,P3127,BRAND_S,1,1045000,1045000
1612915,01-01-19,0,unknown,unknown,P1230,BRAND_E,1,-891000,891000
1612999,01-01-19,0,unknown,unknown,P0315,BRAND_B,1,1188000,1188000
1612966,01-01-19,15081,Tangerang,Banten,P4033,BRAND_W,6,904000,5424000
1612915,01-01-19,0,unknown,unknown,P0167,BRAND_A,1,2679000,2679000
1612999,01-01-19,0,unknown,unknown,P0446,BRAND_B,1,1783000,1783000
1612702,01-01-19,18119,Yogyakarta,Yogyakarta,P3813,BRAND_U,1,450000,450000
1612999,01-01-19,0,unknown,unknown,P0752,BRAND_C,1,11912000,11912000
1612915,01-01-19,0,unknown,unknown,P3195,BRAND_S,2,593000,1186000
1612921,01-01-19,0,unknown,unknown,P0315,BRAND_B,18,1188000,21384000
1612915,01-01-19,0,unknown,unknown,P3884,BRAND_V,1,1783000,1783000
1612951,01-01-19,16125,Jakarta Barat,DKI Jakarta,P1902,BRAND_J,10,695000,6950000
1612870,01-01-19,15858,Bandung,Jawa Barat,P0797,BRAND_C,1,747000,747000
1612915,01-01-19,0,unknown,unknown,P3028,BRAND_R,1,1188000,1188000
1612939,01-01-19,17591,Surakarta,Jawa Tengah,P3075,BRAND_R,1,2795000,2795000
1612915,01-01-19,0,unknown,unknown,P2864,BRAND_R,1,2081000,2081000
1612603,01-01-19,0,unknown,unknown,P0935,BRAND_C,1,12000,12000
1612936,01-01-19,0,unknown,unknown,P3829,BRAND_V,3,5658000,16974000
1612852,01-01-19,16086,Jakarta Selatan,DKI Jakarta,P3909,BRAND_V,2,2987000,5974000
1612999,01-01-19,0,unknown,unknown,P1742,BRAND_H,10,1188000,11880000
1612393,01-01-19,14907,Jakarta Selatan,DKI Jakarta,P1684,BRAND_H,24,747000,17928000
1612870,01-01-19,15858,Bandung,Jawa Barat,P0810,BRAND_C,3,2987000,8961000
1612999,01-01-19,0,unknown,unknown,P2669,BRAND_P,4,1486000,5944000
1612915,01-01-19,0,unknown,unknown,P1245,BRAND_E,1,1486000,1486000
1612999,01-01-19,0,unknown,unknown,P2104,BRAND_L,4,1486000,5944000
1612915,01-01-19,0,unknown,unknown,P3627,BRAND_S,1,2081000,2081000
1612921,01-01-19,0,unknown,unknown,P0418,BRAND_B,9,891000,8019000
1612390,01-01-19,12681,Makassar,Sulawesi Selatan,P2926,BRAND_R,16,310000,4960000
1612939,01-01-19,17591,Surakarta,Jawa Tengah,P1248,BRAND_E,2,1640000,3280000
1612915,01-01-19,0,unknown,unknown,P0418,BRAND_B,1,310000,310000
1612915,01-01-19,0,unknown,unknown,P0991,BRAND_D,1,901000,901000
1612915,01-01-19,0,unknown,unknown,P0687,BRAND_C,1,2679000,2679000
1612945,01-01-19,12839,Jakarta Selatan,DKI Jakarta,P1906,BRAND_J,10,695000,6950000
1612870,01-01-19,15858,Bandung,Jawa Barat,P0010,BRAND_S,2,1045000,2090000
1612999,01-01-19,0,unknown,unknown,P2396,BRAND_P,1,1486000,1486000
1612915,01-01-19,0,unknown,unknown,P0445,BRAND_B,3,1486000,4458000
1612915,01-01-19,0,unknown,unknown,P4069,BRAND_W,1,891000,891000
1612999,01-01-19,0,unknown,unknown,P2894,BRAND_R,2,593000,1186000
1612603,01-01-19,0,unknown,unknown,P3753,BRAND_T,1,12000,12000
1612915,01-01-19,0,unknown,unknown,P1866,BRAND_J,1,593000,593000
