order_id,order_date,customer_id,city,province,product_id,brand,quantity,item_price,total_price
1666777,01-07-19,14215,Jakarta Timur,DKI Jakarta,P3082,BRAND_R,6,1045000,6270000
1666750,01-07-19,13534,Jakarta Barat,DKI Jakarta,P1116,BRAND_D,2,2795000,5590000
1666942,01-07-19,12957,Malang,Jawa Timur,P2969,BRAND_R,6,1150000,6900000
1667167,01-07-19,0,unknown,unknown,P0898,BRAND_C,1,1458000,1458000
1667185,01-07-19,17252,Bogor,Jawa Barat,P0121,BRAND_A,1,590000,590000
1666894,01-07-19,18118,Jakarta Selatan,DKI Jakarta,P0484,BRAND_B,1,2095000,2095000
1667185,01-07-19,17252,Bogor,Jawa Barat,P0041,BRAND_A,1,310000,310000
1666777,01-07-19,14215,Jakarta Timur,DKI Jakarta,P4027,BRAND_W,12,450000,5400000
1666783,01-07-19,13880,Bogor,Jawa Barat,P2978,BRAND_R,2,3494000,6988000
undefined,01-07-19,15150,Jakarta Pusat,DKI Jakarta,P3694,BRAND_T,12,159000,1908000
1667185,01-07-19,17252,Bogor,Jawa Barat,P2995,BRAND_R,10,159000,1590000
1666906,01-07-19,13319,Yogyakarta,Yogyakarta,P1892,BRAND_J,10,695000,6950000
1667116,01-07-19,14713,Jakarta Timur,DKI Jakarta,P4057,BRAND_W,2,2445000,4890000
1667116,01-07-19,14713,Jakarta Timur,DKI Jakarta,P2086,BRAND_L,3,590000,1770000
1666936,01-07-19,18016,Semarang,Jawa Tengah,P3481,BRAND_S,2,1745000,3490000
1666921,01-07-19,14475,Jakarta Pusat,DKI Jakarta,P4059,BRAND_W,2,2795000,5590000
1666906,01-07-19,13319,Yogyakarta,Yogyakarta,P1895,BRAND_J,10,695000,6950000
1667074,01-07-19,12843,Jakarta Pusat,DKI Jakarta,P3127,BRAND_S,10,590000,5900000
1667167,01-07-19,0,unknown,unknown,P1837,BRAND_I,1,583000,583000
1667158,01-07-19,12609,Denpasar,Bali,P1245,BRAND_E,6,303000,1818000
1666945,01-07-19,14623,Jakarta Timur,DKI Jakarta,P2218,BRAND_M,2,2987000,5974000
